X,...1.y,targets,target.id,target.class,drug_id,Name,Synonyms,Targets,Target.pathway,Targets2,PubCHEM,Sample.Size,Count,X,X.1,development
Axitinib,114,Vascular endothelial growth factor receptor 2,P35968,Kinase,1021,Axitinib,"AG-13736, Inlyta","PDGFR, KIT, VEGFR",RTK signaling,"PDGFR, KIT, VEGFR",6450551,GDSC2,50,SANGER,495,approved
azacitidine,1,DNMT1;DNA (cytosine-5)-methyltransferase,P26358,Methyltransferase superfamily,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
belinostat,135,HDAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
bendamustine,2,Human DNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Bexarotene,137,Retinoic acid receptor RXR-alpha,P19793,Zinc-finger,186,Bexarotene,"LG-100069, Targretin, Targret, Targrexin, Targretyn, Bexarotenum",Retinioic X receptor (RXR) agonist,Other,Retinioic X receptor (RXR) agonist,82146,GDSC1,870,MGH,495,approved
Bicalutamide,142,Androgen receptor,P10275,Zinc-finger,1502,Bicalutamide,"ICI-176334, Casodex, Cosudex, ICI 176334",AR,Hormone-related,AR,2375,GDSC1,877,SANGER,495,approved
Bleomycin,149,DNA,P0AEB2,NA,1378,Bleomycin (50 uM),NA,dsDNA break induction,DNA replication,dsDNA break induction,5460769,GDSC1,935,SANGER,495,approved
Bortezomib,157,Proteasome,NA,NA,1191,Bortezomib,"PS-341, LDP-341, Velcade",Proteasome,Protein stability and degradation,Proteasome,387447,GDSC2,757,SANGER,495,approved
Bosutinib,158,Proto-oncogene tyrosine-protein kinase SRC;Proto-oncogene c-Abl,P12931;P00519,Kinase,1019,Bosutinib,"SKI-606, Bosulif","SRC, ABL, TEC","Other, kinases","SRC, ABL, TEC",5328940,GDSC1,948,SANGER,495,approved
cabozantinib,166,Vascular endothelial growth factor receptor 2;Hepatocyte growth factor receptor,P35968;P08581,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Carboplatin,3,Tubulin beta-1 chain;Human DNA,Q9H4B7,Tubulin family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
chlorambucil,12,DNA,P0AEB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Cisplatin,16,mRNA of Telomerase reverse transcriptase;Human DNA,O14746,Kinase,1005,Cisplatin,"cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP",DNA crosslinker,DNA replication,DNA crosslinker,84691,GDSC2,769,SANGER,495,approved
clofarabine,17,DNA;Ribonucleoside-diphosphate reductase;DNA synthesis,P0AEB2;P08543,Oxidoreductases acting on CH or CH(2) groups,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Crizotinib,210,Hepatocyte growth factor receptor;ALK tyrosine kinase receptor;ROS1,P08581;Q9UM73;P08922,Kinase,1083,Crizotinib,"Xalkori, PF2341066, PF-2341066, PF 2341066","MET, ALK, ROS1",RTK signaling,"MET, ALK, ROS1",11626560,GDSC2,738,SANGER,495,approved
Cyclophosphamide,18,Human DNA,NA,NA,1512,Cyclophosphamide,"Cytoxan, Neosar, Cyclophosphamid, Procytox, Cyclophosphane",Alkylating agent,DNA replication,Alkylating agent,2907,GDSC2,752,SANGER,495,approved
Cytarabine,19,DNA polymerase;mRNA of bcl2,P04293,DNA polymerase type-B family,1006,Cytarabine,"Ara-Cytidine, Arabinosyl Cytosine, U-19920",Antimetabolite,Other,Antimetabolite,6253,GDSC2,753,SANGER,495,approved
dabrafenib,219,BRAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
dacarbazine,20,DNA;mRNA of bcl2,P0AEB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Dasatinib,221,Proto-oncogene tyrosine-protein kinase SRC;Fyn tyrosine kinase;Lck tyrosine kinase;Proto-oncogene c-Abl,P12931;P06241;P06239;P00519,Kinase,1079,Dasatinib,"BMS-354825-03, BMS-354825, Sprycel","ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases","ABL, SRC, Ephrins, PDGFR, KIT",3062316,GDSC2,761,SANGER,495,approved
dexamethasone,225,Glucocorticoid receptor;Steroid hormone receptor ERR1;DNA topoisomerase II;mRNA of bcl2,P04150;P11474,Zinc-finger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Docetaxel,228,Tubulin,Q13509,Tubulin family,1819,Docetaxel,"RP-56976, Taxotere",Microtubule stabiliser,Mitosis,Microtubule stabiliser,NA,GDSC2,679,SANGER,495,approved
Doxorubicin,22,Estrogen receptor;Estrogen receptor beta;Legumain;DNA topoisomerase II;Human DNA,P03372;Q92731;Q99538,Zinc-finger,133,Doxorubicin,"Doxil, Rubex, Adriamycin, Adriablastin, Doxorubicine",Anthracycline,DNA replication,Anthracycline,31703,GDSC1,878,MGH,495,approved
Erlotinib,241,Epidermal growth factor receptor;Vascular endothelial growth factor A,P00533;P15692,Kinase,1168,Erlotinib,"Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415",EGFR,EGFR signaling,EGFR,176870,GDSC2,753,SANGER,495,approved
fingolimod,26,Sphingosine 1-phosphate receptor 1,P21453,GPCR rhodopsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
fulvestrant,259,Estrogen receptor,P03372,Zinc-finger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Gefitinib,265,Epidermal growth factor receptor,P00533,Kinase,1010,Gefitinib,"ZD-1839, Iressa",EGFR,EGFR signaling,EGFR,123631,GDSC2,753,SANGER,495,approved
Gemcitabine,28,Ribonucleoside-diphosphatereductase subunit M2;Human DNA,P31350,Oxidoreductases acting on CH or CH(2) groups,1190,Gemcitabine,"Gemzar, LY-188011",Pyrimidine antimetabolite,DNA replication,Pyrimidine antimetabolite,60750,GDSC2,757,SANGER,495,approved
ibrutinib,305,Tyrosine-protein kinase BTK,Q06187,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
ifosfamide,32,DNMT1;Human DNA,P26358,Methyltransferase superfamily,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Imatinib,33,Proto-oncogene c-Abl;Mast/stem cell growth factor receptor;Platelet-derived growth factor receptor;mRNA of MCL-1,P00519;P10721,Kinase,34,Imatinib,"Gleevec, STI-571","ABL, KIT, PDGFR","Other, kinases","ABL, KIT, PDGFR",5291,GDSC1,408,MGH,495,approved
Irinotecan,34,DNA topoisomerase I;Toposisomerase-1;mRNA of bcl2,Q969P6;P11387,DNA topoisomerase,1088,Irinotecan,"Camptosar, (+)-Irinotecan, Irinotecanum, irinotecan hydrochloride",TOP1,DNA replication,TOP1,60838,GDSC2,802,SANGER,495,approved
itraconazole,35,Fungal Cytochrome P450 51,P10613,Oxidoreductases acting on paired donors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
lapatinib,36,Epidermal growth factor receptor;Receptor protein-tyrosine kinase erbB-2,P00533;P04626,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
lenalidomide,37,Tumor necrosis factor,P01375,Cytokine: tumor necrosis factor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
lenvatinib,361,VEGFR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
lovastatin,38,3-hydroxy-3-methylglutaryl-coenzyme A reductase,P04035,Short-chain dehydrogenases reductases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Methotrexate,40,MMP-9;72 kDa type IV collagenase;DHFR;Dihydrofolate reductase;Reduced folate transporter 1;Proton-coupled folate transporter,P14780;P08253;P00374;Q9HBH1;P41440;Q96NT5,Peptidase,1008,Methotrexate,"Abitrexate, Amethopterin, Rheumatrex, Trexall, Folex",Antimetabolite,DNA replication,Antimetabolite,126941,GDSC1,949,SANGER,495,approved
Midostaurin,382,Protein kinase C gamma type;FL cytokine receptor;mRNA of MCL-1,P05129;P36888,Kinase,153,Midostaurin,"PKC412, benzoylstaurosporine, CGP-41251","PKC, PPK, FLT1, c-FGR, others",RTK signaling,"PKC, PPK, FLT1, c-FGR, others",several,GDSC1,889,MGH,495,approved
nelarabine,420,DNA,P0AEB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
neratinib,423,HER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Nilotinib,425,Proto-oncogene c-Abl;mRNA of MCL-1,P00519,Kinase,1013,Nilotinib,"Tasigna, AMN 107",ABL,ABL signaling,ABL,644241,GDSC2,758,SANGER,495,approved
nintedanib,44,Basic fibroblast growth factor receptor 1;Vascular endothelial growth factor receptor 1;Platelet-derived growth factor receptor;Triple angiokinase;Anti-fibrotic kinase,P11362;P17948,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
omacetaxine mepesuccinate,45,ribosome A site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Oxaliplatin,454,Human DNA,NA,NA,1806,Oxaliplatin,NA,NA,DNA replication,NA,NA,GDSC2,729,SANGER,495,approved
paclitaxel,47,Apoptosis regulator Bcl-2;Tubulin beta;mRNA of Heatshock 27 kDa protein;Tubulin beta-1 chain;mRNA of bcl2,P10415;P04792;Q9H4B7,Bcl-2 family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Panobinostat,459,Histone deacetylase 1,Q13547,Carbon-nitrogen hydrolase,438,Panobinostat,"Farydak, LBH589",HDAC,Chromatin histone acetylation,HDAC,NA,GDSC1,905,MGH,495,approved
pazopanib,462,Epidermal growth factor receptor;Receptor protein-tyrosine kinase erbB-2;Vascular endothelial growth factor receptor 2;Mast/stem cell growth factor receptor;Platelet-derived growth factor receptor,P00533;P04626;P35968;P10721,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
procarbazine,49,DNA,P0AEB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Rapamycin,518,Serine/threonine-protein kinase mTOR;Kappa-type opioid receptor;FK506-binding protein 1A,P42345;P41145;P62942,Kinase,1084,Rapamycin,"AY-22989, Sirolimus, WY-090217, Torisel, Rapamune",MTORC1,PI3K/MTOR signaling,MTOR,5384616,GDSC2,745,SANGER,495,approved
regorafenib,520,Vascular endothelial growth factor receptor 2;Mast/stem cell growth factor receptor;Proto-oncogene tyrosine-protein kinase receptor ret,P35968;P10721;P07949,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
ruxolitinib,529,JAK1;Tyrosine-protein kinase JAK2,P23458;O60674,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
simvastatin,51,Peroxisome proliferator activated receptor gamma;3-hydroxy-3-methylglutaryl-coenzyme A reductase,P37231;P04035,Nuclear hormone receptor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
SN-38,562,Toposisomerase-1,P11387,DNA topoisomerase,1494,SN-38,"7-Ethyl-10-Hydroxy-Camptothecin, SN 38",TOP1,DNA replication,TOP1,104842,GDSC1,954,SANGER,495,approved
Sunitinib,578,Vascular endothelial growth factor receptor 2,P35968,Kinase,5,Sunitinib,"Sutent, Sunitinib Malate, SU-11248","PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",RTK signaling,"PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",5329102,GDSC1,399,MGH,495,approved
tacrolimus,583,Calcineurin,Q08209,Phosphoric monoester hydrolases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Tamoxifen,52,Estrogen receptor;Estrogen receptor beta,P03372;Q92731,Zinc-finger,1199,Tamoxifen,"Nolvadex, Soltamox, Zynoplex, ICI-46474, Kessar",ESR1,Hormone-related,ESR1,2733526,GDSC2,757,SANGER,495,approved
temozolomide,591,Human DNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
temsirolimus,592,Serine/threonine-protein kinase mTOR,P42345,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Teniposide,54,DNA topoisomerase II,NA,ATP-hydrolyzing DNA topoisomerase,1809,Teniposide,Vumon,NA,DNA replication,NA,NA,GDSC2,729,SANGER,495,approved
thalidomide,55,Progesterone receptor;Tumor necrosis factor;mRNA of bcl2,P06401;P01375,Zinc-finger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Topotecan,605,DNA topoisomerase I,Q969P6,DNA topoisomerase,1808,Topotecan,NA,NA,DNA replication,NA,NA,GDSC2,729,SANGER,495,approved
Vandetanib,60,Epidermal growth factor receptor;Vascular endothelial growth factor receptor 2;Proto-oncogene tyrosine-protein kinase receptor ret,P00533;P35968;P07949,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Vinblastine,61,Tubulin beta-2 chain,P68371,NA,1004,Vinblastine,Velban,Microtubule destabiliser,Mitosis,Microtubule destabiliser,6710780,GDSC2,752,SANGER,495,approved
vincristine,62,Tubulin beta,NA,Tubulin family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Vinorelbine,63,Tubulin beta;Tubulin,Q13509,Tubulin family,2048,Vinorelbine,"vinorelbine tartrate, Navelbine, Exelbine",Microtubule destabiliser,Mitosis,Microtubule destabiliser,5311497,GDSC2,751,SANGER,495,approved
AR-42,101,Glucagon-like peptide 1 receptor;Glucagon receptor,P43220;P47871,GPCR secretin,272,AR-42,"HDAC-42, AR 42, AR42",HDAC1,Chromatin histone acetylation,HDAC1,6918848,GDSC1,906,MGH,495,phase 1
AT-406,105,Multi-IAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 1
AT-7519,106,Cell division protein kinase 2,P24941,Kinase,219,AT-7519,AT7519,"CDK1, CDK2, CDK4, CDK6, CDK9",Cell cycle,"CDK1, CDK2, CDK4, CDK6, CDK9",11338033,GDSC1,908,MGH,495,phase 1
AZD1480,120,Tyrosine-protein kinase JAK2,O60674,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 1
AZD6482,123,PI3K beta,P42338,Kinase,2169,AZD6482,"AZD 6482, AZD-6482, AK-55409",PI3Kbeta,PI3K/MTOR signaling,PI3K,44137675,GDSC2,48,SANGER,495,phase 1
AZD7762,124,Serine/threonine-protein kinase Chk1,O14757,Kinase,1022,AZD7762,"AZD-7762, AZD 7762","CHEK1, CHEK2",Cell cycle,"CHEK1, CHEK2",11152667,GDSC2,765,SANGER,495,phase 1
AZD8055,125,Serine/threonine-protein kinase mTOR,P42345,Kinase,1059,AZD8055,AZD-8055,"MTORC1, MTORC2",PI3K/MTOR signaling,MTOR,25262965,GDSC2,96,SANGER,495,phase 1
Bryostatin 1,161,PKC,NA,NA,197,Bryostatin 1,Bryostatin,PKC,Other,PKC,5280757,GDSC1,875,MGH,495,phase 1
CP724714,208,Receptor protein-tyrosine kinase erbB-2,P04626,Kinase,255,CP724714,CP-724714,ERBB2,RTK signaling,ERBB2,9874913,GDSC1,921,MGH,495,phase 1
CUDC-101,213,Epidermal growth factor receptor;Receptor protein-tyrosine kinase erbB-2,P00533;P04626,Kinase,273,CUDC-101,CUDC 101,"HDAC1-10, EGFR, ERBB2",Other,"HDAC1-10, EGFR, ERBB2",24756910,GDSC1,900,MGH,495,phase 1
GSK1070916,278,Aurora protein kinase;Aurora kinase B,Q9UQB9;Q96GD4,Kinase,226,GSK1070916,GSK-1070916,"AURKA, AURKC",Mitosis,"AURKA, AURKC",46885626,GDSC1,874,MGH,495,phase 1
GSK2636771,284,PI3K beta,P42338,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 1
GSK690693,290,AKT3 protein kinase,Q9Y243,Kinase,326,GSK690693,"GSK 690693, GSK-690693",AKT,PI3K/MTOR signaling,AKT,16725726,GDSC1,917,MGH,495,phase 1
KW-2449,354,Basic fibroblast growth factor receptor 1;Proto-oncogene c-Abl;FL cytokine receptor,P11362;P00519;P36888,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 1
OSI-930,452,Vascular endothelial growth factor receptor 2;Mast/stem cell growth factor receptor,P35968;P10721,Kinase,298,OSI-930,OSI 930 OSI930,KIT,RTK signaling,KIT,9868037,GDSC1,920,MGH,495,phase 1
OSU-03012,453,PDPK,NA,NA,167,OSU-03012,"AR-12, OSU 03012, OSU03012, PDK1 inhibitor AR-12",PDK1 (PDPK1),Metabolism,PDK1 (PDPK1),10027278,GDSC1,878,MGH,495,phase 1
pac-1,456,Vanilloid receptor 1;Prostaglandin G/H synthase 2,Q8NER1;P35354,Transient receptor family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 1
PF-562271,480,Focal adhesion kinase,Q05397,Kinase,158,PF-562271,PF-00562271,"FAK, FAK2",Cytoskeleton,"FAK, FAK2",11713159,GDSC1,872,MGH,495,phase 1
PHA-793887,485,Cell division protein kinase 4;Cell division protein kinase 2;Cell division control protein 2 homolog,P11802;P24941;P06493,Kinase,301,PHA-793887,"PHA793887, PHA 793887","CDK2, CDK7, CDK5",Cell cycle,"CDK2, CDK7, CDK5",46191454,GDSC1,919,MGH,495,phase 1
serdemetan,546,HDM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 1
SGX-523,549,Hepatocyte growth factor receptor,P08581,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 1
tamatinib,587,Tyrosine-protein kinase SYK;Proto-oncogene tyrosine-protein kinase receptor ret,P43405;P07949,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 1
ZSTK474,659,Phosphoinositide 3 kinase,P48736,Kinase,223,ZSTK474,"KIN001-167, ZSTK-474, ZSTK 474",PI3K (class 1),PI3K/MTOR signaling,PI3K,11647372,GDSC1,918,MGH,495,phase 1
alvocidib,96,CDK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 2
AZD4547,121,Basic fibroblast growth factor receptor 1,P11362,Kinase,1786,AZD4547,1035270-39-3,"FGFR1, FGFR2, FGFR3",RTK signaling,"FGFR1, FGFR2, FGFR3",51039095,GDSC2,758,SANGER,495,phase 2
birinapant,145,Inhibitor of apoptosis protein 2;X-linked inhibitor of apoptosis protein,Q13490;P98170,Carbon-nitrogen ligase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 2
BMS-754807,156,RAC serine/threonine-protein kinase,P31749,Kinase,2171,BMS-754807,BMS-754807,"IGF1R, IR",IGF1R signaling,"IGF1R, IR",NA,GDSC2,46,SANGER,495,phase 2
foretinib,252,MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 2
KX2-391,355,Tubulin polymerization;Src tyrosine kinase signaling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 2
lomeguatrib,367,Transferase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 2
MK-2206,384,AKT3 protein kinase,Q9Y243,Kinase,1053,MK-2206,"MK 2206, MK2206",AKT,PI3K/MTOR signaling,AKT,46930998,GDSC2,772,SANGER,495,phase 2
momelotinib,402,Tyrosine-protein kinase JAK2,O60674,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 2
OSI-027,450,Serine/threonine-protein kinase mTOR,P42345,Kinase,1594,OSI-027,A-1065-5,"MTORC1, MTORC2",PI3K/MTOR signaling,MTOR,44224160,GDSC2,265,SANGER,495,phase 2
silmitasertib,554,CSNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 2
SNS-032,563,Cell division protein kinase 2;Cell division protein kinase 7;Cell division protein kinase 9,P24941;P50613;P50750,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 2
sotrastaurin,567,"Protein kinase C, alpha type;Protein kinase C, beta type;Protein kinase C, theta type",P17252;P05771;Q04759,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 2
TAK-715,585,Stress kinase p38,NA,Kinase,221,TAK-715,"KIN001-201, TAK 715","p38alpha, p38beta",JNK and p38 signaling,"p38alpha, p38beta",9952773,GDSC1,923,MGH,495,phase 2
tandutinib,53,FL cytokine receptor,P36888,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 2
tivantinib,600,Hepatocyte growth factor receptor,P08581,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 2
alisertib,94,Aurora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 3
brivanib,160,Vascular endothelial growth factor receptor 2,P35968,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 3
canertinib,169,pan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 3
cediranib,10,Vascular endothelial growth factor receptor 2,P35968,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 3
dinaciclib,226,CDK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 3
Epothilone B,237,Tubulin,Q13509,Tubulin family,201,Epothilone B,"Patupilone, EpoB, EPO906, GNF-PF-193",Microtubule stabiliser,Mitosis,Microtubule stabiliser,448013,GDSC1,876,MGH,495,phase 3
linifanib,365,VEGFR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 3
masitinib,374,KIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 3
Obatoclax Mesylate,447,Bcl,NA,NA,1068,Obatoclax Mesylate,"GX15-070MS, Obatoclax, GX15-070","BCL2, BCL-XL, BCL-W, MCL1",Apoptosis regulation,"BCL2, BCL-XL, BCL-W, MCL1",11404337,GDSC2,729,SANGER,495,phase 3
quizartinib,514,FLT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 3
rigosertib,523,Phosphoinositide 3 kinase;Serine/threonine-protein kinase PLK1,P48736;P53350,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 3
tacedinaline,582,Histone deacetylase 1,Q13547,Carbon-nitrogen hydrolase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 3
Talazoparib,586,PARP,NA,NA,1259,Talazoparib,"BMN-673, BMN 973","PARP1, PARP2",Genome integrity,"PARP1, PARP2",44819241,GDSC2,750,SANGER,495,phase 3
tipifarnib,56,Farnesyltransferase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 3
tivozanib,601,Vascular endothelial growth factor receptor 2;Vascular endothelial growth factor receptor 1;Vascular endothelial growth factor receptor 3,P35968;P17948;P35916,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phase 3
